FIPS,State,County,Years of Potential Life Lost Rate,Average Number of Physically Unhealthy Days,Average Number of Mentally Unhealthy Days,% Fair or Poor Health,Injury Death Rate,Primary Care Physicians Rate,% Uninsured,% Unemployed,Income Ratio,% Children in Poverty,Median Household Income,Life Expectancy,Drug Overdose Mortality Rate,Firearm Fatalities Rate,Homicide Rate,High School Graduation Rate,% Adults with Obesity,% Adults Reporting Currently Smoking,% Rural,Population
36077,New York,Otsego,8049.0,4.2,5.5,15.0,70.0,138.0,5.0,3.8,4.3,19.0,63863.0,77.7,26.0,8.0,3.0,86.0,36.0,14.0,72.7,60126.0
36079,New York,Putnam,4624.0,3.3,4.9,12.0,51.0,53.0,4.0,3.1,4.2,7.0,120930.0,81.6,23.0,3.0,,94.0,30.0,11.0,35.0,98060.0
36081,New York,Queens,5788.0,4.0,4.8,16.0,43.0,59.0,9.0,4.6,5.0,18.0,81399.0,81.2,20.0,3.0,3.0,86.0,25.0,11.0,0.0,2252196.0
36083,New York,Rensselaer,7122.0,4.0,5.4,14.0,62.0,48.0,4.0,3.3,4.6,16.0,82846.0,77.7,27.0,7.0,4.0,89.0,35.0,13.0,33.1,159305.0
36085,New York,Richmond,6376.0,3.8,5.2,14.0,55.0,81.0,5.0,4.9,5.0,18.0,93337.0,79.0,33.0,3.0,3.0,85.0,29.0,11.0,0.0,490687.0
36087,New York,Rockland,5423.0,3.9,5.1,17.0,48.0,85.0,5.0,3.1,5.4,23.0,105923.0,81.0,18.0,2.0,2.0,90.0,32.0,14.0,0.4,340807.0
36089,New York,St. Lawrence,8243.0,4.1,5.5,17.0,61.0,55.0,6.0,4.4,5.5,21.0,57832.0,76.8,22.0,6.0,,84.0,37.0,20.0,66.9,106940.0
36091,New York,Saratoga,5526.0,3.4,5.0,10.0,47.0,70.0,4.0,2.9,4.2,8.0,94394.0,80.2,17.0,3.0,1.0,92.0,32.0,11.0,28.5,238711.0
36093,New York,Schenectady,8452.0,3.7,5.3,13.0,60.0,80.0,5.0,3.5,4.4,19.0,74791.0,77.1,29.0,5.0,3.0,86.0,34.0,13.0,8.8,159902.0
36095,New York,Schoharie,7415.0,4.0,5.8,17.0,67.0,30.0,5.0,4.2,4.2,17.0,63768.0,78.9,24.0,11.0,,91.0,38.0,19.0,83.0,30105.0
36097,New York,Schuyler,7969.0,4.3,6.1,18.0,65.0,62.0,6.0,3.9,4.9,19.0,65210.0,76.5,24.0,,,91.0,38.0,20.0,100.0,17507.0
36099,New York,Seneca,7640.0,4.3,5.7,16.0,75.0,27.0,6.0,3.5,4.2,21.0,58581.0,77.6,19.0,7.0,,87.0,37.0,16.0,57.9,32349.0
36101,New York,Steuben,8363.0,4.1,5.7,15.0,72.0,56.0,5.0,4.0,4.5,19.0,64261.0,76.3,24.0,10.0,,91.0,37.0,17.0,59.8,92162.0
36103,New York,Suffolk,6453.0,3.7,5.1,13.0,72.0,71.0,6.0,3.4,4.2,9.0,123219.0,79.4,33.0,4.0,2.0,91.0,30.0,11.0,2.0,1523170.0
36105,New York,Sullivan,9701.0,4.2,5.5,17.0,110.0,33.0,6.0,3.3,5.1,21.0,68063.0,76.1,63.0,9.0,4.0,82.0,35.0,15.0,75.1,79920.0
36107,New York,Tioga,6676.0,3.9,5.5,13.0,67.0,27.0,4.0,3.4,4.3,18.0,67616.0,78.6,15.0,8.0,,92.0,35.0,14.0,66.4,47715.0
36109,New York,Tompkins,5563.0,3.9,5.2,14.0,59.0,80.0,5.0,3.1,5.6,13.0,68222.0,80.9,25.0,4.0,,87.0,33.0,13.0,44.1,103558.0
36111,New York,Ulster,7045.0,4.0,5.7,15.0,84.0,60.0,7.0,3.4,5.2,13.0,84593.0,78.8,43.0,7.0,2.0,87.0,32.0,14.0,56.1,182333.0
36113,New York,Warren,7391.0,3.8,5.1,16.0,55.0,111.0,5.0,3.7,4.6,15.0,73115.0,78.1,21.0,5.0,,85.0,35.0,18.0,32.2,65380.0
36115,New York,Washington,8493.0,4.0,5.4,15.0,71.0,36.0,5.0,3.4,3.9,16.0,71396.0,76.6,29.0,9.0,,86.0,36.0,16.0,75.5,60047.0
36117,New York,Wayne,8850.0,4.1,5.9,14.0,81.0,23.0,5.0,3.4,4.2,14.0,73028.0,77.2,25.0,8.0,3.0,87.0,37.0,15.0,74.8,90829.0
36119,New York,Westchester,4881.0,3.3,4.5,13.0,45.0,132.0,5.0,3.4,,11.0,114020.0,82.0,19.0,3.0,2.0,91.0,27.0,9.0,4.5,990817.0
36121,New York,Wyoming,6545.0,4.2,5.8,16.0,67.0,35.0,5.0,3.9,3.9,13.0,70775.0,78.1,20.0,6.0,,93.0,36.0,17.0,90.0,39532.0
36123,New York,Yates,6772.0,4.4,6.1,18.0,79.0,49.0,10.0,3.2,4.3,18.0,66155.0,78.1,,9.0,,80.0,35.0,18.0,68.6,24472.0
